商品名称,店铺名,商品售价,商品分类,佣金比例,销量,销量环比,总销量,总销售额,销售额,商品上架时间,店铺总销量
ผ้าอนามัยผ้าฝ้ายออร์แกนิก แบรนด์ HanQi นำเข้าใหม่ 40 ชิ้น แบบกางเกง ไซส์เดียวและ 3XL น้ำหนักเบา ระบายอากาศได้ดี,Hanqi Import,฿173.60,美妆个护-女性私密处护理-卫生巾,8%,23665,218.89%,42565,6817483.64,3678198.06,2025-07-17 22:08:15,74033
กันแดด พส.จีน โซมี่ SPF50 PA+++  ( ไลฟ์),Yatawee Shop,฿159.00,美妆个护-美容护肤-脸部防晒霜与晒后修复,13.42%,23546,30.31%,59700,8736871,3464753,2025-07-16 21:29:01,939151
[พร้อมส่งจากไทย] 1กล่องx10ชิ้น COLORKEY LUMINOUS FACIAL MASK แผ่นมาส์กบำรุงผิวหน้า 4 สูตร โปรวิตามิน B5 พลัส,COLORKEY THAILAND,฿159.00,美妆个护-美容护肤-面膜,8%,23457,82.84%,47957,7636569.34,3729663,2025-05-30 14:49:58,281484
Dr.PONG ACNE ACE Longwear Cushion คุชชั่นฟิล์ม ผสานเทคโนโลยีกันน้ำ,drpongshop,฿420.95,美妆个护-美妆-遮瑕与粉底,5%,23400,2008.11%,146200,56564405.9,8250078.8,2023-11-14 10:35:34,5006906
NISA โสมนิศา โลชั่นบำรุงผิวกายกลิ่นหอม สำหรับผิวกายแบบกระปุก ครีมบำรุงเข้มข้น ใช้เป็นประจำก่อนนอน รหัสจดแจ้ง 21-1-6800034670,ฟ้านิศาชล,"฿268.00 - 111,059.00",美妆个护-洗浴与身体护理-身体霜、乳,5%,23333,39.46%,45166,11076762.7,5762340.16,2023-01-17 06:10:29,79291
LYO ไลโอ ผลิตภัณฑ์ดูแลเส้นผม สูตรอัญชันและสูตรมะกรูด ปริมาณ 200 มล. แชมพู Shampoo ถนอมเส้นผม Hair มะพร้าว บำรุง,GgZThailand,฿137.29,美妆个护-头部护理与造型-洗发护发,10%,23232,14.22%,363853,24851395.85,2756466.8,2024-09-27 02:37:00,1261349
(แพ็ค 6 ขวด) Sunsilk ซันซิล แชมพู 60 มล. ครบสี,PSTSHOP,฿81.00,美妆个护-头部护理与造型-洗发护发,1%,23210,80.13%,231510,16909091.49,1679669.9,2024-02-16 15:41:19,898830
มาสคาร่าคิ้ว สามมิติ เรียบ สีน้ำตาล กันน้ำ กันเหงื่อ ติดทนนาน ไม่จางหาย,Maykong Beauty TH,฿29.00,美妆个护-美妆-睫毛膏,11%,23201,2.1%,139282,3804362.44,618984.94,2024-03-18 03:13:56,1634649
SKYEYE S10-แหนบขนตา ใช้งานได้หลากหลาย คีบหนีบได้แม่นยำ คนมือสั่นก็ใช้ได้อย่างมั่นใจ เครื่องสำอาง,SKYMI.Official,฿83.00,美妆个护-美妆-化妆工具,15%,23200,42.78%,228300,17857296.49,1600800,2024-09-15 05:06:08,692205
ANNYEONG E อันยองอี วิตามิน พลัส 10 กรัม Annyeong E Vitamin plus,Annyeong E Thailand,฿259.22,美妆个护-美容护肤-痘痘、粉刺护理,15%,23107,260.48%,505039,128208586.1,6048409.06,2024-02-09 16:46:33,662911
[ซื้อ 10 แถม 10]SADOER Mask แผ่นมาส์กหน้า นักเรียน ผู้ชายและผู้หญิง ฤดูใบไม้ร่วงและฤดูหนาว ให้ความชุ่มชื้น   มาส์กหน้า หมอง คล้ำ ให้ความชุ่มชื่นและดูแลผิวอย่างส้ำล็ก มาสกหน้า ยอดนิยม,JULYJAR,฿73.15,美妆个护-美容护肤-面膜,16%,23070,32.27%,104670,7474933.07,1575850.24,2025-01-04 20:03:59,4732816
เจลย้อมคิ้วเนื้อแมทกำมะหยี่ JMCY เจลเขียนคิ้วกันน้ำและกันรอยเปื้อน 12H พร้อมแปรง 15o มาใหม่ คิ้วธรรมชาติและเต็มและกำหนดได้,JMCY Beauty.TH,฿95.00,美妆个护-美妆-眉笔&眉粉&眉胶,10%,23055,6641.23%,27349,2010571,1714285,2025-09-17 10:01:34,248118
MELYNN - Airy Glossy Lip Tint ลิปกลอส ทินท์ ลูกกวาด ปากฉ่ำ Liptint ริมฝีปาก Cosmetic เครื่องสำอาง ผู้หญิง Women,melynnofficial,฿109.00,美妆个护-美妆-口红与唇彩,30%,22799,14.07%,310699,35418906.38,2294301,2023-05-14 10:12:17,374263
แชมพูปิดผมขาวหอมเกศ(ขนาด30mlแบบซอง),hommkesaofficial,฿286.00,美妆个护-头部护理与造型-染发用品,15%,22571,87.89%,44671,9952427.09,5121393,2025-05-27 15:19:33,253640
PINN เจลล้างหน้า Flora Kiss Cleansing Gel 50 ml แถมมอยส์เจอร์ไรเซอร์ 1 ซอง ราคาพิเศษ 290.-,Pinnthailand,฿266.00,美妆个护-美妆-美妆套装,9%,22566,3151.59%,39109,8895485,5077350,2025-03-01 10:54:34,106485
BODANA COCONUT OIL CREAM  ครีมน้ำมันมะพร้าวอเนกประสงค์ 50g มอยส์เจอร์ไรเซอร์  มะพร้าว โบดานา ผิว โคโคนัท ออยล์ ครีม บำรุง Moisturizer ความชุ่มชื้น Skincare ผิวหน้า,Bodana Biotechnology,฿64.83,美妆个护-洗浴与身体护理-身体霜、乳,10%,22523,595.8%,26582,1320360.1,1078863.77,2024-12-09 12:12:12,201752
[Jeff's pick] TIME PHORIA STELLAR DUST LIP STAIN  5ML Pigmented longlasting stain lightweight feeling Hydrating ไทม์ฟอเรีย สเตลล่าร์ ดัส ลิป สเตน สีชัด ติดทนนาน 12 ชั่วโมง เบาสบายริมฝีปาก พร้อมเติมเต็มความชุ่มชื้น,TimePhoria Thailand,฿308.11,美妆个护-美妆-口红与唇彩,5%,22486,-1.76%,103286,28583126.45,5652490.43,2025-04-27 06:58:41,319992
M421 Sweet mint อายแชโดว์ ไฮไลท์ อายไลน์เนอร์ แบบสองหัว เนื้อแมตต์ ธรรมชาติ ติดทนนาน,shihan,฿33.00,美妆个护-美妆-眼影,10%,22480,-20.23%,114630,3110992.45,604279.14,2024-05-02 04:29:17,3259210
ครีมทารักแร้ สูตรเย็น COSMIC SNOW CREAM UNDERARM CARE PLUS 10g. [เจ้าของแบรนด์],พี่ปุ้ยคอสมิค,฿81.00,美妆个护-洗浴与身体护理-身体除臭&防汗剂,10%,22404,36.83%,41921,3057549,1707396,2025-04-11 10:08:10,899385
น้ำหอม Withat Parfum Perfume #น้ำหอมwithat,Withat.OfficialTH,฿472.00,美妆个护-香水-女士香水,18%,22319,62.81%,181161,33870915.51,6975264.16,2023-12-08 08:01:20,2121644
ออยล์บำรุงผิวกระจ่างใส Ness เซตรวม4กลิ่น 4สไตล์  100/180 ML,Ness herbal,฿703.70,美妆个护-洗浴与身体护理-保湿油、按摩油,15%,22310,164.84%,33810,19816929.06,13494839.3,2025-03-04 03:46:54,541559
สินค้าขายดี ปี 2025 พร้อมอุปกรณ์ย้อมผมครบชุดครีมย้อมผม STYLE FIT ครีมย้อมผม ไม่ต้องฟอกสีผม เปลี่ยนสีผม เทา เฮเซลนัท น้ำตาล ได้อย่างรวดเร็ว,BIAKSASHOP,฿60.00,美妆个护-头部护理与造型-染发用品,11%,22188,815.72%,28512,1496676,1161504,2025-06-17 03:08:19,556365
ขนตาปลอม แหนบสเตนเลส UWN แข็งแรง ทนทาน กันสนิมและกันลื่น เหมาะสำหรับงานDIYและงานฝีมือ,UWN Direct,฿30.00,美妆个护-美妆-美妆套装,1%,22086,132.26%,31600,948000,662580,2025-08-07 14:01:49,1052236
MizuMi UV Bright Body Serum (1 หลอด x 180 ml ) SPF50+ PA++++ เซรั่มกันแดดทาผิวกาย เบาสบายผิว ปกป้องผิวจากแดดและมลภาวะ Sunscreen,Mizumi,฿229.00,美妆个护-洗浴与身体护理-身体防晒,8%,21999,-12.16%,453800,80588544.23,3692938.69,2022-06-29 17:38:57,2396644
เซรั่มไฮยา พริตตี้เกิร์ลล ผิวใส ขนาด 300ml. พร้อมส่ง,IceIceshop.,฿91.00,美妆个护-洗浴与身体护理-身体霜、乳,5%,21825,-6.19%,82925,8963803.11,1724175,2022-10-25 10:09:40,256868
【PIMRYPIE】11.11 แป้งพัฟสุรีย์พร ลดแรงสุดในรอบปี (มีให้เลือก 4 เฉดสี) P0,มินิอายรีวิว,฿131.00,美妆个护-美妆-散粉,-,21820,-7.8%,344512,49820190.29,3456884,2024-09-08 03:02:25,3554720
(1 แถม 1) แฮร์โทนิคจีเฮิร์บ JEEHERB ผลิตภัณฑ์บำรุงเส้นผม ขนาด 30ml. (ตะกร้าเจ้าของแบรนด์),CEO.JEEHERB,฿255.72,美妆个护-头部护理与造型-头发与头皮养护,15%,21801,22.59%,86007,17289875.12,4663273.2,2023-01-24 02:38:26,576174
DAZZLE ME Get a Grip! Makeup Setting Spray สเปรย์ล็อคเมคอัพ ควบคุมความมัน ติดทนนาน,DAZZLE ME_TH,฿98.00,美妆个护-美妆-定妆喷雾,10%,21668,35.88%,493787,42964397.19,1801949.48,2023-07-20 12:14:57,4090152
ไม่ต้องกัดสีผมค่ะ2025 สินค้าฮอตในSTYLE FIT สีย้อมผม ยาย้อมผม 100ml ครีมย้อมผม อ่อนโยนไม่ปิดกั้นทำสีง่า，ฟรีอุปกรณ์ทำสีผม,Silanya Lab,฿138.00,美妆个护-头部护理与造型-染发用品,15%,21666,-44.54%,64366,7384852.81,2578226.77,2025-08-29 15:51:17,241472
S1:สบู่ลักขณาฟองฟ๊อด ขนาด 60 กรัม,ลักขณาพาสวย,฿54.00,美妆个护-洗浴与身体护理-沐浴露与香皂,18.5%,21623,65.07%,649542,31194785.18,1011577,2022-09-05 00:33:43,1263496
ลดสนั่น! RIRIKO DE SALVADOR HAIR MIST NURISH SPRAY - สเปรย์น้ำหอมบำรุงผม,Kongnaphat,฿295.60,美妆个护-头部护理与造型-头发与头皮养护,8%,21514,49.56%,88891,23779740.35,5669318.85,2024-12-23 19:02:33,2688846
ครีม pm บัวหิมะ 1 กล่อง ของแท้,Beauty rosee,฿46.00,美妆个护-美妆-美妆套装,10%,21435,415.26%,36535,1403276.45,833439.45,2024-06-23 00:42:04,70474
【แพ็กเกจใหม่!!】 Éclate Lash ขนตาปลอมแบบช่อ(มีกาวในตัว)รุ่นอัพเกรด ยาว11-14mm 60ช่อ มีหลากหลายสไตล์ ติดง่ายไม่ใช้กาว เครื่องสำอาง,Éclate Lash,฿213.33,美妆个护-美妆-假睫毛与胶水,10%,21413,-14.7%,154734,28053852.3,4197712,2024-06-18 07:06:14,307588
2-in-1 highlighter and contour pen คอนทัวร์ 2 In 1 ไฮไลท์ เนื้อลิขวิด สว่างขึ้น/แท่งคอนทัวร์หน้า แบบสองหัว/ปากกาคอนทัวร์ จมูก สีน้ําตาล B91,LumineeBeauty TH,฿39.00,美妆个护-美妆-高光与修容,10%,21356,37.02%,130548,4719560.64,768816,2024-04-18 01:01:59,1363053
The Skin Collection Serum Niacinamide10% + NAG8% เซรั่มสำหรับคนที่มีปัญหารอยดำรอยแดง 30ml,The Skin Collection,฿146.00,美妆个护-美容护肤-面部精华液,12%,21330,-14.07%,1037780,140101137.4,2948410,2022-10-23 16:26:16,1653714
[เจลมานูก้าอัพ 1 หลอด] เจลมานูก้าอัพ ฟาวเดอร์สกิน Manuka Up Founderskin Skincare สกินแคร์ เหมาะสำหรับผู้ที่มีปัญหารอยดำ รอยแดง จากสิว,FounderskinOfficial,฿174.00,美妆个护-美容护肤-痘痘、粉刺护理,10%,21237,-4.38%,347000,53867638.53,2884987.58,2023-12-10 10:58:41,1256929
เซรั่มกาญจนา พลัส [ร้านเจ้าของแบรนด์],สมุนไพรกาญจนา น้องมีนน,฿87.00,美妆个护-美容护肤-面部精华液,10%,21128,28.15%,163853,13825820.54,1669112,2024-12-25 01:26:37,204264
เซรั่มผม น้ำมันใส่ผมหอม น้ำมันทาผม เซรั่มบำรุงผม ครีมบำรุงผม เคราตินบำรุงผม เซรั่มใส่ผม ทรีนเมนบำรุงผม น้ำตบผม（1298）,Ultraman SHOP 55,฿33.00,美妆个护-头部护理与造型-头发与头皮养护,10%,21115,-0.48%,139515,4146653.51,615137.57,2024-03-26 00:08:41,2478180
ขนตาปลอม มีกาวในตัว มีให้เลือกหลายสไตล์ รูปทรงต่างๆ สามารถวางได้โดยไม่มีกาวเพิ่มเติม เบาและนุ่ม ชุดแต่งตา มีหลายสไตล์และหลายขนาดให้เลือก,Tian You,฿71.30,美妆个护-美妆-假睫毛与胶水,10%,21107,1313.73%,22600,991960,909173,2025-09-13 04:19:18,31733
สตอคอนซ์ซีรั่ม Intensive Strawberry Conc Serum,YerpallThailand,฿457.00,美妆个护-美容护肤-面部精华液,15%,21049,117.04%,62949,26127448,7973386,2025-02-25 22:11:42,2332667
ตัวไม่ต้องใช้กร์ ไม่ต้องกอดประกอบ ขนตาแบาวใน ก้านแข็ง พร้อมแหนบ ดูเป็นธรรมชาติ เหมาะสำหรับการอ่านหนังสือ Cosmetic Cosmetics เครื่องสำอาง  กันน้ำ,FunToy Store,฿62.80,美妆个护-美妆-假睫毛与胶水,10%,21000,-2.71%,261100,15632949.38,1253080.5,2024-08-01 06:25:48,387222
Fanny 3 ชิ้น/ห่อ ผ้าอนามัยแบบกางเกง ผ้าอนามัยกางเกง Lancoolอัปเกรดผ้าอนามัยระบายอากาศได้,Thana132,฿32.00,美妆个护-女性私密处护理-卫生巾,10%,20992,-26.25%,1105753,22652835.88,587776,2023-12-05 00:11:50,1244179
ลิปสติกเนื้อแมทกำมะหยี่ มีให้เลือก 6 สี กันน้ำ ทนทาน นู้ด เซ็กซี่ ไม่ติดถ้วย,JIYKOL,฿63.00,美妆个护-美妆-口红与唇彩,15%,20927,83.8%,46827,3173467.08,1334582,2025-05-15 10:38:32,694916
DAZZLE ME Fruit Justice Lip Balm ลิปบาล์ม ปรับสีตามค่าPH สารสกัดจากผลไม้ธรรมชาติ,DAZZLE ME_TH,฿67.00,美妆个护-美容护肤-唇部护理,10%,20892,-10.55%,592362,45551162.94,1270359.22,2023-03-24 05:55:38,4090152
FLORTTE-ดินสอเขียนคิ้วสองด้าน ดินสอเขียนคิ้ว สีคิ้ว,FlortteBeauty,฿173.00,美妆个护-美妆-眉笔&眉粉&眉胶,5%,20698,109.71%,56425,7364033.15,2752602,2023-07-21 14:40:39,389745
แชมพู ทรีตเม้นท์ Herbal Essence KO Rich,korich,฿102.00,美妆个护-头部护理与造型-洗发护发,-,20638,15.77%,347374,57092884.42,2161145,2023-02-03 22:10:10,8370027
ครีม40x [Mall ของแท้บริษัทโดยตรง] PRO DERMA PLUS BODY BOOSTER  ปริมาณ 250ml. โปร เดอม่า พลัส บูสเตอร์บำรุงผิวกาย เนื้อเจล แบรนด์ JENNIE MOON,JENNIE MOON,฿414.00,美妆个护-洗浴与身体护理-身体霜、乳,10%,20633,149.43%,194156,39352858,5493259,2025-02-11 13:49:05,226522
scbrush เซตแปรงโอวัลติน แปรงแต่งหน้ามืออาชีพ แปรงแต่งหน้า7ชิ้น,Scbrush,฿94.00,美妆个护-美妆-化妆刷,10%,20621,-17%,360142,30561582.8,1789343.14,2023-12-05 18:25:09,906076
BulingBuling มาสคาร่า หลอดสีเงิน ใช้งานง่าย ไม่เลอะง่าย ดูเป็นธรรมชาติ ติดทน กันน้ำ ใช้งานได้ยาวนาน การเพิ่มวอลุ่ม การเพิ่มความยาว,Buling Buling,฿39.00,美妆个护-美妆-睫毛膏,10%,20605,-44.89%,352863,13140240.01,703746.72,2023-06-14 16:01:53,927276
(ABCEW Nail Art Series) สินค้ามาใหม่ จัดส่งรวดเร็วที่สุด เล็บปลอมสไตล์โมเดิร์น ใช้งานง่าย 24 ชิ้น/กล่อง เล็บสำเร็จรูป เล็บเจล เล็บปลอมแบบมีกาว เล็บปลอมสีรุ้ง เล็บปลอมเพื่อสุขภาพ เจล สี  ลูกแก้ว  โฮโลแกรม ไพรเมอร์บำรุงเล็บ  Nails,LTNail.shop,฿19.90,美妆个护-手足及指甲护理-美甲套装,12%,20600,95.13%,35200,473077.51,288444,2025-07-03 07:08:22,90385
ดับเบิ้ลวิตซีน้องฉัตร 2 in 1 VC เซรั่ม+ครีม 2 STEP VC Vit C Bio Face Advanced Pre-Serum + Whitening Cream 4+4 g.,DKskinshop เครื่องสำอาง,฿265.71,美妆个护-美容护肤-面部护理套装,2%,20584,8.19%,343510,21402165.17,756210,2022-12-27 21:05:16,11787464
{ช่องบริษัท} CHY คุชชั่นซอง สูตรโกลว์ หรือ สูตรแมตต์  ช่วยกันแดด เบลอรูขุมขน หน้าฉ่ำเงา  จะได้รับสินค้า 1 ซองตามตัวเลือก ขนาด 7 g เครื่องสำอาง Cosmetic Cosmetics Foundation รองพื้น Women ผู้หญิง,chy-cosmetic,฿70.00,美妆个护-美妆-遮瑕与粉底,10%,20494,6942.61%,35694,1961873,1085846,2023-12-19 11:35:47,705224
วาสลีน เฮลธี ไบรท์ เดลี่ โพรเทคชั่น แอนด์ ไบรท์เทนนิ่ง เซรั่ม เซรั่มกันแดด ปกป้องผิว 5 มิติ ผิวดูกระจ่างใส 155 - 170 มล. (เลือกสูตรด้านใน) Vaseline Healthy Bright Daily Protection & Brightening Lotion 155 - 170 ml.,Vaseline Thailand,฿174.00,美妆个护-洗浴与身体护理-身体防晒,7%,20445,48.55%,117745,15459194.48,3090174.7,2022-11-07 12:42:25,2077075
[บริษัทโดยตรง] - JOSE EXTRA WHITE BODY & JOSE PREMIUM BODY OIL  ครีมโจเซ่ เอ็กซ์ตร้า ไวท์ บอดี้ 1 ออยล์โจเซ่ 1,JOSE Thailand,฿359.00,美妆个护-美容护肤-面部护理套装,15%,20350,-2.76%,75950,25747050,6898650,2025-04-21 14:05:16,2551589
【PGM】คุชชั่น Gmeelan BLACK TRUFFLE High Coverage กันน้ำ คุมมันยาวนาน 12 ชั่วโมง (มีของแถมพิเศษ)+Gmeelan Setting pray,GMEELAN Skincare Store,฿214.00,美妆个护-美妆-遮瑕与粉底,1%,20341,2.48%,147557,33744955.13,3444204,2024-07-02 02:05:24,1285211
ที่กันคิ้ว NIUMO ชาร์จและไม่ต้องเจ็บปวด ขนาดมินิ อุปกรณ์กำจัดขนถาวร แบตเตอรี่ 60 mAh ในตัว,NIUMO SHOP-TH,฿75.00,美妆个护-美容、个护电器-电动修眉刀,12%,20338,-43.05%,205538,14347260.29,1403322,2024-09-17 04:40:24,1259937
สินค้าขายดี ปี 2025 พร้อมอุปกรณ์ย้อมผมครบชุดครีมย้อมผม STYLE FIT ครีมย้อมผม ไม่ต้องฟอกสีผม เปลี่ยนสีผม เทา เฮเซลนัท น้ำตาล ได้อย่างรวดเร็ว,BIAKSASHOP,฿61.00,美妆个护-头部护理与造型-染发用品,11%,20326,-30.77%,110700,5992374,1093026,2025-04-28 07:23:44,556365
( เจ้าของแบรนด์ )มาร์คแฮปปี้ มาร์คทองคำ Night  gold whitening  mask ปริมาณ 5 กรัม,THE Happy 888,฿116.00,美妆个护-美容护肤-面膜,15%,20300,61.33%,116100,10462076.4,1895359,2023-11-22 05:03:08,216787
ไม่ต้องกัดสีผมค่ะ 2025 สีย้อมผม ยาย้อมผม 100ml ครีมย้อมผม อ่อนโยนไม่ปิดกั้นทำสีง่า ย้อมผมง่ายๆที่บ้าน，ฟรีอุปกรณ์ทำสีผม，พร้อมส่ง!!,Dainnyy,฿59.63,美妆个护-头部护理与造型-染发用品,11.5%,20280,36.03%,158980,8406035.44,1022542.6,2024-04-09 02:53:29,262991
สบู่แม่ผู้ใหญ่ AURA WIHTE SOAP BY.แม่ผู้ใหญ่,Baifern Shop,฿138.52,美妆个护-洗浴与身体护理-沐浴露与香皂,10%,20257,75.54%,35363,4929820.2,2789803,2025-04-05 18:13:19,194968
"SikiCoolw Macaron series ขนตาปลอมมีกาวในตัว [SC-05, 07, 08, 10, 12, 14, 15, 17, 18, 19, 20 เป็นกาวสีดำ] เส้นขนตาบาง ใส่สบาย ดูเป็นธรรมชาติ",SikiCoolw,฿70.98,美妆个护-美妆-假睫毛与胶水,15%,20247,-40.29%,89150,4882646.17,1207350.03,2025-05-03 18:13:21,138030
โคจิก&จินเส็ง บำรุงผิวกาย ขวดละ500ml. โลชั่นแบรนด์มณี,มดซี่ อะบาระฮึ่ม2,฿178.00,美妆个护-洗浴与身体护理-身体霜、乳,10%,20220,-44.14%,239357,35815860,3033000,2025-02-01 02:08:02,1674986
ครีมคุณยาย Khun Yai figth cream,Numningshop,฿119.00 - 321.00,美妆个护-美容护肤-痘痘、粉刺护理,10%,20193,1161.27%,26230,2651308.42,2019300,2024-02-15 04:52:13,29673
Ela Rae ครีมทารักแร้ Armpit White & Brightening Cream ขนาด 100 กรัม แพคเกจใหม่ จาก Ela Rae Official,ร้านใหญ่จิปาถะ ช็อปปิ้งแท้,฿383.00,美妆个护-女性私密处护理-私处除臭,16%,20023,48.91%,33623,26427825,21409425,2025-09-12 20:32:21,1045973
【BCD】SKINTIFIC  MATTE CUSHION Refil ให้การปกปิด แมตต์ติดทนตลอดวัน Cover All Perfect Cushion High Coverage Poreless & Flawless Foundation 24H ติดทนนาน SPF35 PA++++ Cosmetic Cosmetics ผู้หญิง เครื่องสำอาง Women ใบหน้า รองพื้น Cosmetic ผิว,SkintificTH,฿298.73,美妆个护-美妆-遮瑕与粉底,10%,19995,169%,40195,10895262.19,5184534.55,2025-04-05 06:53:52,793817
เซรั่มกรดแดง10% + ครีมโสมฝาแดง  (ใช้เฉพาะก่อนนอน)LIVE,Deproud thailand,฿419.00,美妆个护-洗浴与身体护理-身体霜、乳,2%,19989,99845%,38239,12688542,6156272,2024-03-31 22:47:18,536243
HONE HYBRID SUNSCREEN SPF 50+ PA++++ กันแดดหนุ่มกรรชัย  เนื้อบางเบา ซึมง่าย เป็นมิตรต่อปะการัง,HONE THAILAND,฿425.74,美妆个护-美容护肤-脸部防晒霜与晒后修复,10%,19978,35575%,21800,8069680.04,7391545.53,2023-11-30 12:24:49,68861
RD Labs 3D shampoo แชมพูสารสกัดธรรมชาติ เพื่อผมหนามีวอลลุ่ม เงางาม สูตรป้องกันสีผม (พร้อมจัดส่งวันที่ 11/11/68),Happychoice.shop,฿163.00,美妆个护-头部护理与造型-洗发护发,10%,19907,22.53%,70129,9847807,2767073,2025-01-21 15:19:55,444613
"แท็บเล็ตแว็กซ์อโรมาเทอราพี, สำหรับตู้เสื้อผ้า, เม็ดหอม, ถุงหอม, ดับกลิ่น, เครื่องมือที่มีประโยชน์, กลิ่นหอมติดทนนาน, จี้รถ, น้ำหอม, เหมาะสำหรับตู้เสื้อผ้า",BOQILYNE Beauty.TH,฿60.00,美妆个护-洗浴与身体护理-身体除臭&防汗剂,-,19723,85.21%,90884,5453040,1183386,2024-12-04 16:35:09,571922
JUP JUP Probiotic Oral Spray จุ๊บจุ๊บ สเปรย์ดูแลช่องปาก โพรไบโอติก 8ml (Peach/Grape/Green Apple),Konvy,฿257.00,美妆个护-鼻子口腔护理-口腔喷剂,8%,19452,77.48%,87992,16411151.41,4259988,2024-08-11 02:25:01,7333462
Livetined Hair Essence [เซ็ต 4 กระปุก] - คุ้มค่าสุดพิเศษ! เฉพาะ TiktokShop เท่านั้น,LIVETINED THAILAND,฿214.00,美妆个护-头部护理与造型-头发与头皮养护,10%,19407,6.92%,90387,12308885,3881400,2025-04-09 07:20:31,1799705
RIRIKO SWEET CARAMEL BODY SPRAY ริริโก๊ะ สวีทคาราเมล บอดี้ สเปรย์,Kongnaphat,฿139.03,美妆个护-洗浴与身体护理-身体除臭&防汗剂,8%,19404,191.57%,133011,34008857.95,2504067.32,2023-12-21 21:35:09,2688846
น้ำหอม RAZO กลิ่น GLOSS ขนาด 30 ml. ร้านเจ้าของแบรนด์,เจ้าของแบรนด์น้ำหอม RAZO,฿219.36,美妆个护-香水-香水,15%,19400,21.18%,380700,68117234.87,3604439,2023-03-01 12:41:52,509638
