商品名称,店铺名,商品售价,商品分类,佣金比例,销量,销量环比,总销量,总销售额,销售额,商品上架时间,店铺总销量
"สีย้อมผม, สไตล์พอดี, ไม่มีสารฟอกขาว, สีผมล่าสุด, โฟมย้อมผม, ซื้อ 1 แถม 1, จัดส่งฟรี, ใช้งานง่าย, ย้อมผมง่าย, ย้อมการ์นิเย่, 100มล. ฟรี 100มล.",Silanya Lab,฿66.00,美妆个护-头部护理与造型-染发用品,5%,19400,122.38%,42300,2474926.88,1144593,2025-08-19 06:57:45,241472
【BCD】Glad2Glow Peach Retinol Moisturizer  เรตินอล ครีม มอยเจอไรเซอร์เรตินอลเพื่อผิวอ่อนเยาว์ 30กรัม,Glad2GlowThai,฿199.50,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,1%,19238,-4.66%,68738,12009769.88,3290825.49,2025-04-01 06:44:21,836322
(พร้อมส่ง ) ลิปทิ้นท์ ( 3 สี ) เคโอริช Lip Tint Ko Rich,korich,฿118.00,美妆个护-美妆-口红与唇彩,-,19226,15.32%,228703,19570989,1922600,2023-01-21 02:00:37,8370027
โรลออนระงับกลิ่นกาย สเปรย์ระงับกลิ่นกาย ลดกลิ่นไม่พึงประสงค์ใต้วงแขน Deodorants 3กลิ่น 50ml (1150),BIG LIVE SHOP,฿17.50,美妆个护-洗浴与身体护理-身体除臭&防汗剂,10%,19100,9.7%,52900,770364.9,285623.15,2025-06-09 01:36:31,1169524
KHOR HOM ยาสีฟันขอหอม สูตรเข้มข้น 1 หลอด แปรงหลังทานอาหาร เช้า เย็น และ ก่อนนอน ผลลัพธ์ขึ้นอยู่กับแต่ละบุคคล,ยาสีฟันขอหอม กาแฟปริญญา,฿108.00,美妆个护-鼻子口腔护理-牙膏,20%,19059,68.75%,70581,6989058.66,1886841,2024-07-22 16:09:19,112824
[มี 4 แพ็คให้เลือก] ยาสีฟัน คอลเกต อ๊อพติค ไวท์ เพอร์เพิล 100 กรัม Colgate Optic White Purple 100g,Colgate Thailand,฿103.00,美妆个护-鼻子口腔护理-牙膏,10%,19057,-8.64%,175956,19515257.55,1921886.2,2024-03-08 21:04:18,663075
ออยล์บำรุงผิวกระจ่างใส มุราซากิ Ness 4กลิ่น 4สไตล์  60ml,Ness herbal,฿442.71,美妆个护-洗浴与身体护理-保湿油、按摩油,15%,19051,367.28%,28518,11358461.76,8394158.69,2025-02-23 10:53:39,541559
LACANA Original Luxury Perfume  น้ำหอมลาคาน่า กลิ่นเฉพาะของทางแบรนด์,LACANATHAILAND,฿458.13,美妆个护-香水-男女通用香水,20%,19000,0.55%,123900,49804569.57,7358748.9,2024-12-08 09:38:50,591191
FOCALLURE แผ่นแปะสิว สกินแคร์ 2g,FOCALLURE.TH,฿31.00,美妆个护-美容护肤-痘痘、粉刺护理,2%,19000,277.13%,82200,2144331.83,493810,2023-09-13 20:02:49,1006822
สมุนไพรกาญจนา [ร้านเจ้าของแบรนด์],น้องมีน สมุนไพรกาญจนา,฿83.00,美妆个护-美容护肤-痘痘、粉刺护理,15%,18970,-19.19%,741298,87121313.88,1498630,2023-12-09 12:10:21,1850864
"ลิปกลอส, BOQILYNE ของแท้, มีให้เลือกหลายเฉดสี, ตัวอย่างรวมอยู่ด้วย สูตรเรียบเนียน สบาย ลองดูสีที่สวยงามก่อนตัดสินใจซื้อขนาดเต็ม  1.5g",BOQILYNE Beauty.TH,฿20.00,美妆个护-美妆-口红与唇彩,-,18867,97.56%,38217,764340,377346,2025-09-16 16:21:40,571922
"[โปร1แถม1] สครับส้มวิตซี+ สครับมะนาว (1,000g.)",EPS GROUP COMPANY,฿229.00,美妆个护-洗浴与身体护理-身体磨砂膏、去角质,10%,18859,101.96%,93940,17475665.3,3492024,2024-11-22 20:46:38,401281
【Special for Pimrypie】PINKFLASH - อายไลเนอร์ชนิดน้ำ ปราศจากข้อผิดพลาด สวมใส่ได้นาน แห้งเร็ว ป้องกันรอยเปื้อน ป้องกันการถ่ายโอน กันน้ำ,PINKFLASH.TH,฿33.00,美妆个护-美妆-眼线笔与唇线笔,-,18851,128.41%,365003,6434868.6,346122.93,2023-08-17 17:31:01,4406503
ชื่อแบรนด์ AMOUR (อะมัวร์) 30ml Eau de Parfum,whannoey,฿235.00,美妆个护-香水-女士香水,10%,18809,60.47%,104761,21611348.1,3889751,2024-10-22 15:46:04,460364
(สินค้าขายดี) เซรั่มแบบซอง ริซเซ่มิลค์ไฮยาเซรั่ม 5 ml แบบซอง ปริมาณใหม่ ผิวแพ้ง่ายใช้ได้ Skincare,RICHSEUP ริซเซ่,฿104.76 - 272.00,美妆个护-美容护肤-面部精华液,10%,18788,22.24%,208674,17856920.42,1544455.7,2024-11-01 14:43:52,509589
(100ml) Pok cc cream พอกซีซีครีม  กันแดดspf50pa++ กันน้ำ กันเหงื่อ,มีมี่เจ้าของแบรนด์พอกดี,฿205.89,美妆个护-洗浴与身体护理-身体防晒,10%,18710,9.21%,102726,16539149.31,2999460,2024-10-30 23:52:14,140463
[รุ่นใหม่!]แมส 3D หน้ากากอนามัยทางการแพทย์ WALLIAS วอลลิแอส Medical Mask 3D ผู้ใหญ่ ป้องกันฝุ่น PM2.5 ดีเยี่ยม กรอง VIRUS และ Bacteria รูปทรง กระชับใบหน้า || มี 3 สีให้เลือก ขาว ดำ และ สีฟ้า,CC - CLEAN STORE,฿9.00,美妆个护-美容护肤-面部护理工具,6%,18689,3507.92%,21000,240450,208773,2025-09-26 12:05:16,77620
สครับพะพิม แพ็คเก็จใหม่ 1 ถุง 400กรัม/1ถุง,เจ้าของแบรนด์ พะ พิม,฿64.00,美妆个护-洗浴与身体护理-身体磨砂膏、去角质,9%,18670,98.98%,32393,1473737,746870,2025-05-08 11:01:31,1686163
【PGM】GMEELAN LAZY CREAM 30g เลเซี่ยนครีม【Randomly ship different packaging】,GMEELAN Skincare Store,฿76.00,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,1%,18647,2602.46%,69400,18606812.27,1189731.24,2024-06-28 23:19:00,1285211
ยาสีฟันแบรนด์พรทิน่า Botanical White โปรโมชั่น 1 แถม 1 ทั้งหมด 2 หลอด,พรทิพย์ พรทิน่า,฿229.00,美妆个护-鼻子口腔护理-牙膏,10%,18583,-21.81%,48220,9393731,3716600,2025-08-07 20:13:28,997517
เซรั่มไฮยา พริตตี้เกิร์ล ไวท์เทนนิ่ง บอดี้ เซรั่ม,Namnam89Shop,฿60.00,美妆个护-美容护肤-面部护理套装,10%,18577,2331.54%,19430,1255995.46,1201859.96,2024-02-02 20:25:26,99726
【NEW】LA BOUM Glitter 50ml. น้ำหอม Unisex กลิ่นหอม หรูหรา ติดทนนาน เขย่าก่อนฉีด 【มีจำนวนจำกัด】 Perfume ดอกกุหลาบ,LABOUM BEAUTY TH,฿96.00,美妆个护-香水-女士香水,10%,18540,78.85%,122503,7698713.65,1462450.82,2024-03-22 15:40:10,236300
ลิปไก่ทอดแบบแท่ง 9g Syrup Glossy Lip ลิปกลอสปากฉ่ำพร้อมบำรุง วาวเหมือนกินไก่ทอด,KAGE.COSMETICS,฿373.00 - 373.48,美妆个护-美妆-口红与唇彩,10%,18411,134.03%,156312,40137485.13,2229689,2024-11-08 00:27:47,660692
Madame Fin สเปรย์ฉีดผมหอม Sine's Dry Shampoo 1 ขวด ขนาดขวดละ 150 ml.,Madamefin,฿278.98,美妆个护-头部护理与造型-洗发护发,10%,18402,1991.14%,38415,9159561.86,4379316.85,2023-11-15 01:30:22,2994169
โปรเฉพาะไลฟ์สดเท่านั้น!! สครับสปาบ้านทุ่ง ขนาด 250 กรัม 2 กป. 390 บาท,Ngampring Shop,฿236.00,美妆个护-洗浴与身体护理-身体磨砂膏、去角质,1%,18323,1368.19%,42853,12735951.25,6203591,2024-02-07 12:12:27,268957
กางเกงอนามัย HanQi สำหรับผู้หญิง แพ็คเกจใหญ่สุด 30 ชิ้น ดีไซน์ป้องกันการรั่วไหล 360 องศา ระบายอากาศได้ดี ปกป้องผิว เหมาะสำหรับใช้กลางวัน กลางคืน หลังคลอด และหญิงตั้งครรภ์ ผ้าอนามัย ดูดซับดีตลอดทั้งวัน,HanQi,฿142.05,美妆个护-女性私密处护理-卫生巾,8%,18300,0.91%,171600,26865355.16,2357261.4,2024-11-01 00:05:04,198327
HANYMOON [แพ็คเกจสุดคุ้ม] 3ชิ้น เจลอาบน้ำ+แชมพู+ครีมนวดผม แชมพูหอมติดทนนาน ปัญหาผมเสีย ขจัดรังแค ผิวนุ่มลื่น ยาสระ ผม 500 มล.,HANYMOON Mall,฿318.00,美妆个护-头部护理与造型-头发与头皮养护,15%,18293,68.09%,37600,9957770.42,4373358,2025-04-08 04:16:05,42397
เซรั่มใบบัวบกไฮยา สูตรเย็น 1 ขวด(ตะกร้าบริษัท),dewface,฿103.00,美妆个护-美容护肤-面部精华液,4%,18290,111.13%,177700,14656310.66,1619997,2023-02-11 01:03:02,418330
French Perfumer นำเข้าจากฝรั่งเศส น้ำหอมผู้หญิง น้ำหอมทาตัว กลิ่นหอมติดทนนาน 24 ชม. กล่องของขวัญ (100 มล.) เหมาะสำหรับใส่ไปไนท์คลับ ที่ทำงาน และโอกาสสำคัญ [เก็บเงินปลายทาง],Sellion TH,฿238.01,美妆个护-香水-女士香水,8%,18069,83.76%,49112,10379887.64,3737055.65,2024-07-28 06:16:56,175636
สินค้าขายดีลดราคาพิเศษ【จัดส่งฟรี】สินค้านำเข้าใหม่ Memeeie กางเกงอนามัย(แพ็คเกจใหญ่พิเศษ 30 ชิ้น) กันรั่ว 360° ระบายอากาศได้ดี ปกป้องผิว ใช้ได้ทั้งกลางวันและกลางคืน/คลอดบุตร/สตรีมีครรภ์,memeeie ผ้าอนามัย,฿187.00,美妆个护-女性私密处护理-卫生巾,8%,18053,15.86%,273687,44874561.61,2840898,2024-10-27 12:36:30,308469
หวีแต่งผม10ชิ้นหวีเอ็นวัวป้องกันไฟฟ้าสถิตย์หวีจัดแต่งทรงผมเครื่องมือจัดแต่งทรงผมที่ตัดขนอุปกรณ์เสริม,Y O H I,฿29.00,美妆个护-头部护理与造型-不插电造型工具,10%,18035,137.65%,27686,692166,450875,2024-12-27 05:43:45,96016
น้ำหอมEDP กลิ่นDUPEเทียบเค้าเตอร์แบรนด์ ติดทนยาวนาน 8-12 ชม. ขนาด 10 ml. ของCHUAN HORM PERFUME,chuanhorm,฿107.00,美妆个护-香水-香水套装,10%,18000,52.61%,31200,3074290,1782000,2025-08-18 15:45:10,42468
[Special] DAZZLE ME Ink-Vinyl Lip Lacquer ริมฝีปากเงางาม ติดทน เบาสบายปากตลอดวัน,DAZZLE ME_TH,฿100.00,美妆个护-美妆-口红与唇彩,10%,17996,-28.91%,43396,4032734,1670764,2025-09-01 12:49:09,4090152
ADSS (รับประกัน 1 ปี) PAE305 หวีไฟฟ้า หวี 2 in 1 One Step สวยครบจบในเครื่องเดียว หวีตรง ม้วนผม ทำวอลลุ่ม จัดแต่งทรงผม,Hometohome,฿201.00,美妆个护-美容、个护电器-卷、直发器,11%,17901,10.68%,282379,52269249.92,3272311.08,2023-06-23 14:38:49,4016057
แป้งโชพรีเมียม Cho flawless silk touch foundation powder สูตรใหม่,Chocosmetics,฿891.00,美妆个护-美妆-散粉,10%,17866,1166.19%,22200,17493930,14114140,2025-07-30 21:06:25,186511
(1แถม1) Yumiko Rejuran Cream เพิ่มความชุ่มชื่นผิวหน้า,โรงงานทนายเก่ง,฿122.00,美妆个护-美容护肤-面部护理套装,10%,17759,-5.28%,89042,8912705.32,1864695,2024-03-04 14:54:37,1829127
CHY คริสตัล โกลว์ หรือ ซาติน แมทท์ คุชชั่น  เลือกได้ 1 ชิ้น ขนาด 12gเนื้อเนียนนุ่ม บางเบา กันน้ำ กันแดดในตัว,chy-cosmetic,฿330.00,美妆个护-美妆-遮瑕与粉底,12%,17732,2141.72%,18522,6405242,6090032,2025-09-14 16:05:10,705224
ซิโอร่า โกลด์ เซรั่ม 5 ขวด - Ciora Gold Serum  - (ส่งตรงจากโรงงาน),ซิโอร่า มอลล์,฿108.00,美妆个护-美容护肤-面部精华液,15%,17705,91.84%,26960,2669040,1752795,2025-08-28 02:23:17,234991
เล็บปลอม 24 ชิ้น/แถบ สี เล็บปลอม แผ่นแปะเล็บ ใช้ซ้ำได้ พร้อมหมากฝรั่งเยลลี่,mumu,฿9.00,美妆个护-手足及指甲护理-美甲套装,10%,17700,27.26%,290800,2050315.41,141600,2024-03-21 06:36:59,729516
มาส์กบำรุงผิว (ราคาถูกสุดๆ) 30 แผ่น มาส์ก,milisrody,฿107.00,美妆个护-美容护肤-面膜,10%,17576,79.09%,39976,3934877.24,1749687.71,2024-05-22 03:40:15,677950
เซ็ตสุดคุ้ม เจลลี่เซรั่ม 200 ml + ครีมเจลมิวซุ 120 ml บำรุงผิวกาย,Mayny Myuzu,฿327.95,美妆个护-洗浴与身体护理-身体霜、乳,15%,17518,-0.85%,158646,43724752.41,4759010.42,2024-11-10 19:03:11,632666
( สบู่ดานิคผิวกาย 1 กล่อง  ) DANIK MULTI VITAMIN COLLAGEN WHITENING SOAP : 1 กล่อง บรรจุ 5 ก้อน,DANIK SHOP CENTER,฿186.00,美妆个护-洗浴与身体护理-沐浴露与香皂,10%,17504,-9.04%,315122,42519053.34,3594755,2022-10-11 02:23:02,744489
YOTEX  หวียืดผม หวียืดผมไร้สาย 2 อิน 1 ปรับอุณหภูมิได้ 3 ระดับ ขนาดเล็ก ร้อนเร็ว แบบไร้สายหวีไฟฟ้า หวีฟันป้องกันน้ำร้อนลวก Wireless Portable Brush,YOTEX,฿129.77,美妆个护-美容、个护电器-卷、直发器,7%,17496,-12.91%,78955,9467414.91,2054446.13,2024-11-12 20:18:22,1687697
เซลลิเวอร่า แอบโซลูท รีแพร์ ครีม 15กรัม- DR76,พิมรี่พายขายทุกอย่าง,฿70.00,美妆个护-美容护肤-面部按摩霜,-,17419,183.88%,25905,1987504,1219330,2025-08-06 14:10:16,7812264
อยากได้ผมสวยแบบไม่ต้องเสียเงินเยอะ  แนะนำครีมเปลี่ยนสีผมราคาสบายกระเป๋า แต่คุณภาพไม่ธรรมดา!,Fajazz-TH,฿66.00,美妆个护-头部护理与造型-染发用品,5%,17400,14.47%,33700,1988300,1026600,2025-07-30 03:06:42,45943
เซรั่ม1 ครีมฟิลเลอร์2 NANA เซรั่มทับทิม โดสเซรั่มคุณโจ้ ครีมฟิลเลอร์ เซรั่มทาหน้า ครีมทาหน้า,NAWANNA เพจบริษัท,฿303.00,美妆个护-美容护肤-面部护理套装,30%,17377,195.93%,44806,13374284,5195723,2024-07-10 13:11:36,910669
[โปรพิเศษ!] ดีดีครีมแตงโมจุฬาเฮิร์บ 6in1 สูตรใหม่! โทนอัพปรับผิวใส เบส รองพื้น กันแดด กันน้ำ สกินแคร์ผิวหน้า บำรุงX10Super Vitamin + Antioxidant 40g.,julaherbthailand,฿217.00,美妆个护-美容护肤-脸部防晒霜与晒后修复,10%,17355,-30.77%,147255,29071280.09,3503988.91,2024-09-18 20:14:44,1006924
เล็บปลอมตาแมว ชุด 10 ชิ้น กลิตเตอร์ ชุดตาแมว เพ้นท์เล็บ รหัสแยกมือ การออกแบบเพ้นท์เล็บที่เรียบง่าย แพทช์เล็บปลอมที่ถอดออกได้ การออกแบบเล็บยอดนิยมของผู้หญิง ใช้ซ้ำได้ ต่อเล็บ,FNSCGHandmadearmorwearing,฿12.00,美妆个护-手足及指甲护理-指甲油,8%,17270,47872.22%,19100,567699.85,439737.95,2025-08-14 02:40:25,285964
จัดส่งตลอด 24 ชั่วโมง EELHOE Neck Cream 40g ครีมบำรุงผิวครีมบำรุงผิวโลชั่นบำรุงผิว,Amnuai56,฿125.21,美妆个护-洗浴与身体护理-颈部护理,12%,17235,60.3%,185742,9286451.5,1859571.16,2025-01-14 02:32:45,337729
[ซื้อ 5 แถม 1] ichi ผ้าอนามัย แบบกระชับ ผ้าอนามัย กลางวันแบบกระชับ สลิมมีปีก 24 ซม. หนานุ่ม มามาก โซฟี(ห่อละ 10 ชิ้น*6),ichi TH,฿104.84,美妆个护-女性私密处护理-卫生巾,10%,17110,186.5%,29710,2740853.53,1534384.27,2025-05-30 05:06:21,2402466
SHAQINUO บลัชออนติด ครีมสีสวย บรัชออน ปัดแก้ม อิ่มตัวตามธรรมชาติ เนื้อดี สีสวย สามมิติ ติทนนาน กันน้ำ,Thai Silk Cosmetics,฿30.00,美妆个护-美妆-腮红,11%,17098,190.19%,65913,1602449.66,416854,2024-05-14 00:14:39,1506849
โดฟ บอดี้สครับ 280 ก. x1-x2 (เลือกสูตรด้านใน) Dove Body Scrub 280 g. x1-x2,Unilever Thailand Shop,฿211.92,美妆个护-洗浴与身体护理-身体磨砂膏、去角质,12%,17096,51.02%,170373,34864222.46,3047614.96,2024-06-06 18:55:30,459876
TEETH  WHITENING PEN ปากกาสำหรับฟอกฟัน,แทนธันเดอร์,฿345.00,美妆个护-鼻子口腔护理-牙齿美白,13%,17057,99.38%,197917,50175792.44,4809973,2023-10-02 16:03:32,468381
Parrot Botanicals Bar 105G. P.4 แพรอท สบู่พฤกษานกแก้ว 105 กรัม. แพ็ก 4 ก้อน (เลือกกลิ่น เลือกจำนวน) สบู่ก้อน Bar soap,BJC TH STORE,฿120.00,美妆个护-洗浴与身体护理-沐浴露与香皂,3%,17033,19.59%,119847,11663327.49,1555767,2024-04-03 01:04:08,443951
สินค้าขายดีที่สุดพร้อมอุปกรณ์ย้อมผมครบเซ็ต ครีมย้อมผม STYLE FIT ครีมย้อมผม 15 สี ไม่ต้องฟอกสีผม เปลี่ยนสีผมรวดเร็ว สีเทา เฮเซลนัท น้ำตาล,BIAKSASHOP,฿66.00,美妆个护-头部护理与造型-染发用品,11%,17014,232.76%,33355,1799379,917168,2025-05-26 05:49:41,556365
แทททูฮาโลวีน ลายแผลติดหน้า แต่งไปงาน Halloween แทททูรอยแผล แผล ฮาโลวีน แทททู tattoo แทททูติดหน้า,Anya.Gibshop,฿9.00,美妆个护-美妆-纹身贴,5%,17001,7134.47%,20200,181800,153009,2024-10-23 20:06:53,26312
GLAMM BOOSTER BRIGHT WHITE ESSENCE (ตระกร้าบริษัท),GLAMMOFFICIAL,฿444.00,美妆个护-美容护肤-面部精华液,15%,16943,21.51%,87243,33751639,6504137,2024-11-26 22:54:38,319212
Mask แผ่นมาส์กหน้า มาส์กหน้าSADOER มาส์กสูตรใหม่ มาร์คหน้า มาส์กหน้า ให้ความชุ่มชื้น มีหน้ากากยอดนิยมให้เลือกหลากหลาย,lalaland tk,฿4.32,美妆个护-美容护肤-面膜,8%,16908,-9.94%,452831,794609.7,63169.05,2023-09-08 17:00:45,2000704
น้ำหอม อะดอร์ มีหลายกลิ่นให้เลือก ขนาด 30ml,whannoey,฿249.00,美妆个护-香水-男女通用香水,10%,16894,73.77%,259202,57908037.63,3467826,2024-01-20 15:30:37,460364
ลิปสติกลอรีอัล ปารีส อินฟอลลิเบิล แมท รีซิสแทนซ์ L’OREAL PARIS INFALLIBLE MATTE RESISTANCE LIPSTICK (ลิปแมท ลิปติดทน),L'Oreal Paris TH,฿276.37,美妆个护-美妆-口红与唇彩,10%,16879,124.37%,128879,33046201.26,3794089.43,2023-10-04 18:06:04,1014987
( พร้อมส่ง ) กันแดดชมพู เคโอริช (Sunscreen CC  Ko Rich),korich,฿107.00,美妆个护-美容护肤-脸部防晒霜与晒后修复,-,16841,130.35%,84773,10880182,920726,2024-05-07 01:34:13,8370027
【I WaWa】 พาเลตต์คอนซีลเลอร์ 4 สี + พัฟฟรี | ปรับสีผิวให้สม่ำเสมอ ไฮไลท์ และคอนทัวร์ | ปกปิดรอยคล้ำใต้ตาและสิว,IWAWA TH,฿118.19,美妆个护-美妆-遮瑕与粉底,10%,16792,272.33%,21400,2705798.72,2145396.72,2025-08-31 12:31:31,41887
กันแดด พส.จีนโซมี่SPF50 PA+++(ม่วง+ชมพู),Yatawee Shop,฿683.00,美妆个护-美容护肤-脸部防晒霜与晒后修复,13.33%,16742,730.87%,22112,7210546,5600800,2025-07-16 21:29:01,939151
(พร้อมส่ง) นํ้าหอม WINDSCENT SHINING Perfume (น้ำหอมเปล่งแสง)  20ml - สดใส ร่าเริง มีเสน่ห์ [ไม่มีคูปองไข่],WiNDSCENTOFFICIAL,฿463.00,美妆个护-香水-男女通用香水,10%,16729,90.62%,86087,32859210,6370660,2025-07-30 23:50:22,928900
DAZZLE ME Color Chrome Melt to Dew Lip Click ลิปสติกติดทน บำรุงปากให้ชุ่มชื่น ฉ่ำวาว ป้องกันรังสียูวี SPF 25 PA+++,DAZZLE ME_TH,฿95.00,美妆个护-美容护肤-唇部护理,10%,16700,-1.38%,115700,10593797.67,1440585.17,2024-12-20 11:13:09,4090152
(ของแท้+ส่งไว)ครีมแต้มไฝจีจี้ ไฝ หูด ขี้แมลงวัน ติ่งเนื้อ สิวหิน ตาปลา Skincare สกินแคร์,Ji Jie Store,฿65.00,美妆个护-美容护肤-痘痘、粉刺护理,15%,16696,12.61%,71949,4228612.05,988264,2024-11-27 10:20:52,86208
ลิปสติก Handaiyan 6 สี ผิวด้าน ไม่ซีดจาง ไม่ติดถ้วย เหมาะสำหรับการค้าต่างประเทศ ลิปสติกแต่งหน้าแบบข้ามพรมแดน,LOUYYYY,฿69.00,美妆个护-美妆-口红与唇彩,18%,16687,41.76%,28800,1699200,984533,2025-09-04 23:09:26,61193
[แพ็คคู่สุดคุ้ม 1+1] ซันซิล (แชมพู+แชมพู / แชมพู+ครีมนวด ) Sunsilk  ถนอมเส้นผม,DKskinshop เครื่องสำอาง,฿154.88,美妆个护-头部护理与造型-洗发护发,-,16656,-2.49%,207421,26806686.28,2101532.03,2024-06-23 14:04:56,11787464
( 1 แถม 1 ) ปากกาตราอายไลเนอร์ แบบบูรณาการ แม่นยำ ติดทนนาน กันรอยเปื้อน แห้งไว ปากกายางอายไลเนอร์,Everything for customers,฿75.00,美妆个护-美妆-眼线笔与唇线笔,18%,16629,-13.3%,50594,3601811,1147401,2025-08-01 17:34:42,232212
[โปรพิเศษ!] กันแดด 3D ออร่า 1 หลอด JULA'S HERB WATERMELON 3D AURA SUN GUARD SPF50+ PA++++,julaherbthailand,฿248.84,美妆个护-美容护肤-脸部防晒霜与晒后修复,15%,16478,121.36%,59628,14354938.82,4115572.47,2025-05-06 16:54:53,1006924
แมสก์หน้าเรียว ทรงสวย กระชับใบหน้า Fancy Shape Mask ป้องกันฝุ่น ใส่สบาย (พร้อมส่ง),WONDER SUPPLY.,฿33.00,美妆个护-美容护肤-面部护理工具,-,16406,1311.88%,21308,639240,492180,2025-09-29 00:36:18,250674
ซื้อ 1 แถม 1 เพียงหลอดเดียวก็เห็นผล EELHOE ครีมบำรุงคอ 40g ครีมบำรุง ลดเลือนริ้วรอย ครีมบำรุงคอ Suffocation,EELHOE Mall8,฿67.00,美妆个护-洗浴与身体护理-颈部护理,15%,16402,-14.19%,64911,4177663.94,1038617.21,2025-02-17 00:26:41,77725
กันแดดน้ำนมโนร่า 1แคปซูล  NORA DAILY SUNSCREEN SPF 50 PA+++,NORATHAILAND,฿70.00,美妆个护-美容护肤-脸部防晒霜与晒后修复,10%,16383,56.37%,47283,6212122,966597,2023-11-21 21:05:08,822463
【BCD】SKINTIFIC Limited version cushion/Perfect Stay Velvet Matte Cushion สีฟ้า คุชชั่น ให้การปกปิด แมตต์ติดทนตลอดวัน รองพื้นSKINTIFIC PERFECT STAY VELVET MATTE CUSHION /Cover all perfect cushion,SkintificTH,฿461.00,美妆个护-美妆-遮瑕与粉底,1%,16242,346.09%,53380,15400601.17,5604078.26,2025-04-01 11:14:54,793817
Syrup Glossy Lip 9g ลิปไก่ทอดแบบแท่ง ลิปกลอสไซรัป,KAGE.COSMETICS,"฿349.00 - 2,792.00",美妆个护-美妆-口红与唇彩,10%,16230,355.64%,64975,14772856.2,2546970,2024-07-14 13:56:50,660692
กันแดดจู ซัน ชิลด์ ครีม เอสพีเอฟ 50 พีเอ+++ (50g.),CEOJOJU,฿348.00,美妆个护-美容护肤-脸部防晒霜与晒后修复,7%,16175,1018.6%,17621,3792570,3506920,2025-09-09 20:28:36,503208